"city","contaminants","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","trend","relative_change"
"Бобруйск","Твердые частицы",34,32,21,NA,NA,NA,NA,NA,NA,NA,"decrease",-38.2352941176471
"Бобруйск","Оксид углерода",1151,1207,799,833,931,712,812,738,769,879,"decrease",-23.6316246741963
"Бобруйск","Диоксид азота",26,26,27,44,36,34,29,24,33,37,"increase",42.3076923076923
"Брест","Твердые частицы",26,28,23,28,28,27,18,27,33,35,"increase",34.6153846153846
"Брест","Диоксид серы",1,1,NA,NA,NA,NA,NA,NA,NA,15,"increase",1400
"Брест","Оксид углерода",708,795,800,593,544,511,613,797,913,938,"increase",32.4858757062147
"Брест","Диоксид азота",27,31,29,26,23,24,26,33,34,39,"increase",44.4444444444444
"Брест","Приземный озон",NA,NA,NA,NA,NA,NA,50,62,65,54,"increase",8
"Витебск","Твердые частицы",84,110,97,109,117,116,115,112,113,52,"decrease",-38.0952380952381
"Витебск","Диоксид серы",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"mixed",NA
"Витебск","Оксид углерода",793,1003,1042,658,523,757,675,610,517,530,"decrease",-33.1651954602774
"Витебск","Диоксид азота",39,40,40,45,41,32,36,35,32,41,"increase",5.12820512820513
"Витебск","Приземный озон",NA,NA,NA,NA,42,51,42,NA,NA,NA,"mixed",0
"Гомель","Твердые частицы",45,29,61,51,63,52,45,23,29,33,"decrease",-26.6666666666667
"Гомель","Диоксид серы",5,6,7,8,5,8,17,9,NA,NA,"increase",80
"Гомель","Оксид углерода",441,427,436,439,451,496,444,422,452,500,"increase",13.3786848072562
"Гомель","Диоксид азота",21,23,20,19,21,17,20,21,17,26,"increase",23.8095238095238
"Гомель","Приземный озон",NA,NA,NA,NA,NA,NA,NA,52,54,44,"decrease",-15.3846153846154
"Гродно","Твердые частицы",40,33,53,57,51,37,40,37,26,31,"decrease",-22.5
"Гродно","Диоксид серы",NA,1,NA,NA,NA,NA,NA,1,NA,15,"increase",1400
"Гродно","Оксид углерода",1608,1513,1672,771,611,583,665,720,664,509,"decrease",-68.3457711442786
"Гродно","Диоксид азота",35,33,33,31,24,30,28,19,17,26,"decrease",-25.7142857142857
"Гродно","Приземный озон",NA,NA,NA,NA,NA,NA,55,57,65,62,"increase",12.7272727272727
"Минск","Твердые частицы",NA,NA,NA,NA,15,NA,NA,NA,NA,21,"increase",40
"Минск","Диоксид серы",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"mixed",0
"Минск","Оксид углерода",680,677,586,472,439,414,386,434,499,470,"decrease",-30.8823529411765
"Минск","Диоксид азота",40,39,33,31,34,34,32,37,39,37,"decrease",-7.5
"Могилев","Твердые частицы",42,55,43,46,42,37,47,44,27,NA,"decrease",-35.7142857142857
"Могилев","Диоксид серы",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"mixed",0
"Могилев","Оксид углерода",1098,1018,972,1188,943,879,875,670,661,495,"decrease",-54.9180327868852
"Могилев","Диоксид азота",49,50,57,57,53,52,55,49,49,51,"increase",4.08163265306122
"Новополоцк","Твердые частицы",30,22,21,17,NA,NA,NA,NA,NA,NA,"decrease",-43.3333333333333
"Новополоцк","Диоксид серы",2,2,1,NA,1,2,1,1,3,32,"increase",1500
"Новополоцк","Оксид углерода",902,792,875,1268,1633,1509,835,330,577,916,"increase",1.55210643015521
"Новополоцк","Диоксид азота",38,34,37,37,45,40,42,47,54,46,"increase",21.0526315789474
"Новополоцк","Приземный озон",NA,NA,NA,NA,NA,NA,56,55,59,48,"decrease",-14.2857142857143
"Орша","Твердые частицы",NA,NA,NA,NA,15,15,15,NA,NA,NA,"mixed",0
"Орша","Оксид углерода",2154,1579,1075,1142,1065,788,762,749,781,1100,"decrease",-48.9322191272052
"Орша","Диоксид азота",24,22,20,24,22,25,21,25,21,23,"decrease",-4.16666666666667
"Пинск","Твердые частицы",82,76,59,67,57,46,52,42,20,43,"decrease",-47.5609756097561
"Пинск","Оксид углерода",540,640,577,424,478,491,369,419,515,517,"decrease",-4.25925925925926
"Пинск","Диоксид азота",19,22,18,27,33,18,16,32,49,22,"increase",15.7894736842105
"Полоцк","Твердые частицы",54,39,31,26,25,NA,NA,NA,NA,NA,"decrease",-53.7037037037037
"Полоцк","Диоксид серы",1,1,1,NA,1,3,1,2,4,46,"increase",4500
"Полоцк","Оксид углерода",1183,1149,682,934,1739,1946,1169,483,797,1256,"increase",6.17075232459848
"Полоцк","Диоксид азота",41,42,43,38,52,47,55,63,59,58,"increase",41.4634146341463
"Полоцк","Приземный озон",NA,NA,NA,NA,NA,NA,NA,50,55,47,"decrease",-6
"Светлогорск","Твердые частицы",31,29,36,43,30,59,54,35,22,50,"increase",61.2903225806452
"Светлогорск","Оксид углерода",698,984,829,NA,NA,955,878,648,705,751,"increase",7.59312320916905
"Светлогорск","Диоксид азота",23,45,46,60,46,39,33,34,53,32,"increase",39.1304347826087
